Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
108.09,Chatham,3059.00,179.00,5.9
116.19,Fulton,2199.00,129.00,5.9
2.05,Union,1576.00,93.00,5.9
1105.03,Walton,982.00,59.00,6.0
116.22,Fulton,2781.00,166.00,6.0
116.18,Fulton,1207.00,74.00,6.1
1205.03,Paulding,1428.00,87.00,6.1
11,Richmond,467.00,29.00,6.2
111.04,Chatham,1271.00,79.00,6.2
1203,Harris,2623.00,163.00,6.2
1401.02,Fayette,1508.00,93.00,6.2
16.04,Hall,1803.00,111.00,6.2
1605,Spalding,1726.00,107.00,6.2
1705.02,Coweta,1777.00,110.00,6.2
1805.03,Barrow,1297.00,82.00,6.3
108.06,Chatham,1515.00,97.00,6.4
1301.01,Forsyth,1241.00,79.00,6.4
1108,Walton,1998.00,130.00,6.5
1304.03,Forsyth,1670.00,108.00,6.5
1305,Clarke,677.00,44.00,6.5
1306.02,Forsyth,1551.00,100.00,6.5
233.14,DeKalb,1350.00,88.00,6.5
108.03,Chatham,2588.00,170.00,6.6
1305.03,Forsyth,715.00,47.00,6.6
2.04,Hall,1190.00,78.00,6.6
204,DeKalb,564.00,37.00,6.6
212.17,DeKalb,577.00,38.00,6.6
223.01,DeKalb,1167.00,77.00,6.6
1109,Bulloch,1839.00,123.00,6.7
1201.02,Paulding,3110.00,207.00,6.7
1706.03,Coweta,1494.00,100.00,6.7
1708.02,Coweta,1308.00,88.00,6.7
136.04,Bibb,1319.00,89.00,6.8
15.02,Hall,1169.00,80.00,6.8
116.23,Fulton,3362.00,233.00,6.9
1302.01,Forsyth,1372.00,95.00,6.9
2.01,Union,680.00,47.00,6.9
233.16,DeKalb,2122.00,147.00,6.9
108.01,Chatham,773.00,54.00,7.0
218.10,DeKalb,1316.00,92.00,7.0
222.03,DeKalb,370.00,26.00,7.0
1106.03,Walton,1184.00,84.00,7.1
234.25,DeKalb,1289.00,91.00,7.1
