Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
15,Chatham,136.00,34.00,25.00
15,Dougherty,453.00,254.00,56.10
15,Fulton,542.00,0.00,0.00
15,Richmond,136.00,34.00,33.20
15,Whitfield,1624.00,165.00,10.20
15.01,Hall,1305.00,65.00,5.00
15.02,Hall,1169.00,80.00,6.80
1501,Butts,2212.00,280.00,12.70
1502,Butts,1898.00,479.00,25.20
1503,Butts,1486.00,247.00,16.60
1503,Clarke,738.00,72.00,9.80
1504,Clarke,172.00,40.00,23.30
1505,Clarke,633.00,84.00,13.30
1506,Clarke,442.00,90.00,20.40
1507,Clarke,1206.00,158.00,13.10
1508,Clarke,1514.00,200.00,13.20
1509,Clarke,1104.00,220.00,19.90
16,Floyd,725.00,249.00,34.30
16,Fulton,370.00,30.00,8.10
16,Muscogee,512.00,355.00,69.30
16.01,Richmond,1009.00,418.00,41.40
16.02,Richmond,966.00,107.00,11.10
16.03,Hall,1406.00,134.00,9.50
16.04,Hall,1803.00,111.00,6.20
16.05,Hall,1442.00,121.00,8.40
16.06,Hall,859.00,89.00,10.40
16.07,Hall,1359.00,126.00,9.30
16.08,Hall,1736.00,64.00,3.70
1601,Spalding,1459.00,262.00,18.00
1602,Spalding,1819.00,137.00,7.50
1603,Spalding,780.00,286.00,36.70
1604,Spalding,1179.00,456.00,38.70
1605,Spalding,1726.00,107.00,6.20
1606,Spalding,1166.00,109.00,9.40
1607,Spalding,1636.00,320.00,19.60
1608,Spalding,933.00,446.00,47.80
1609,Spalding,569.00,159.00,27.90
1610,Spalding,1353.00,185.00,13.70
1611,Spalding,1005.00,58.00,5.80
1612,Spalding,2230.00,414.00,18.60
17,Clarke,461.00,36.00,7.80
17,Fulton,700.00,93.00,13.30
17.01,Floyd,1752.00,272.00,15.50
17.02,Floyd,1627.00,67.00,4.10
1701,Coweta,2112.00,375.00,17.80
1702,Coweta,2116.00,218.00,10.30
1703.03,Coweta,1571.00,75.00,4.80
1703.04,Coweta,1831.00,87.00,4.80
1703.05,Coweta,2135.00,627.00,29.40
1703.06,Coweta,2448.00,337.00,13.80
1704.02,Coweta,2735.00,144.00,5.30
1704.03,Coweta,1350.00,11.00,0.80
1704.04,Coweta,1488.00,67.00,4.50
1704.05,Coweta,2118.00,10.00,0.50
1704.06,Coweta,1135.00,29.00,2.60
1705.01,Coweta,1935.00,159.00,8.20
1705.02,Coweta,1777.00,110.00,6.20
1705.03,Coweta,1670.00,88.00,5.30
1706.01,Coweta,2043.00,479.00,23.50
1706.02,Coweta,2559.00,51.00,2.00
1706.03,Coweta,1494.00,100.00,6.70
1707,Coweta,2041.00,540.00,26.50
1708.01,Coweta,1387.00,80.00,5.80
1708.02,Coweta,1308.00,88.00,6.70
18,Clarke,508.00,84.00,16.50
18,Floyd,1316.00,199.00,15.10
18,Fulton,597.00,242.00,40.50
18,Muscogee,313.00,128.00,40.90
1801.03,Barrow,1200.00,46.00,3.80
1801.04,Barrow,513.00,108.00,21.10
1801.05,Barrow,761.00,102.00,13.40
1801.06,Barrow,645.00,72.00,11.20
1801.07,Barrow,954.00,139.00,14.60
1801.08,Barrow,721.00,82.00,11.40
1802.03,Barrow,801.00,119.00,14.90
1802.04,Barrow,572.00,115.00,20.10
